10000 49.0954
11008 54.5979
12112 59.4092
13328 65.4846
14664 71.9909
16136 79.1384
17752 87.0127
19528 95.7915
21488 105.509
23640 116.577
26008 128.031
28616 140.757
31480 154.495
34632 170.311
38096 187.5
41912 206.452
46104 227.186
50720 249.957
55800 273.69
61384 299.767
67528 336.975
74288 364.221
81720 393.645
89896 400.865
98888 426.083
108784 453.82
119664 488.471
131632 501.548
144800 528.161
159288 560.304
175224 577.081
192752 606.419
212032 625.35
233240 660.339
256568 675.135
282232 711.621
310456 734.628
341504 604.21
375656 294.962
413224 242.651
454552 241.332
500008 243.123
550016 241.492
605024 240.218
665528 240.886
732088 242.837
805304 244.798
885840 245.221
974432 245.809
1071880 246.314
1179072 247.411
1296984 248.731
1426688 249.316
1569360 249.888
1726304 249.86
1898936 250.184
2088832 250.838
2297720 251.932
2527496 252.669
2780248 253.203
3058280 253.488
3364112 253.774
3700528 254.289
4070584 254.311
4477648 254.405
4925416 254.72
5417960 254.973
5959760 255.342
6555744 255.472
7211320 255.759
7932456 255.53
8725704 255.915
9598280 255.789
10558112 255.995
11613928 255.766
12775328 256.092
14052864 256.339
15458152 256.071
17003968 256.421
18704368 256.383
20574808 256.356
22632296 256.513
24895528 256.524
27385088 256.608
30123600 256.366
33135968 256.641
36449568 256.684
40094528 256.513
44103984 256.842
48514384 256.803
53365824 256.565
58702408 256.538
64572656 256.588
71029928 262.03
78132928 261.821
85946224 257.017
94540848 256.842
