104 222.574
120 227.203
136 230.782
152 233.265
168 234.145
192 237.054
216 250.502
240 251.521
272 253.502
304 254.464
336 255.803
376 256.485
416 256.302
464 256.752
512 257.398
568 257.1
632 257.099
696 257.638
768 256.421
848 256.528
936 255.53
1032 254.691
1136 254.408
1256 253.817
1384 253.188
1528 252.341
1688 250.773
1864 249.707
2056 247.847
2264 246.149
2496 245.148
2752 243.47
3032 242.178
3336 241.055
3672 240.056
4040 238.978
4448 237.443
4896 236.216
5392 235.415
5936 233.87
6536 232.78
7192 231.625
7912 230.547
8704 229.783
9576 228.956
