104 232.492
120 153.997
136 158.056
152 159.461
168 159.403
192 173.224
216 184.81
240 185.295
272 183.292
304 195.377
336 197.312
376 213.967
416 214.385
464 212.807
512 212.285
568 204.805
632 223.208
696 213.355
768 214.295
848 214.673
936 207.417
1032 221.539
1136 200.515
1256 206.732
1384 199.466
1528 199.462
1688 190.324
1864 184.696
2056 250.706
2264 249.455
2496 257.855
2752 258.66
3032 249.401
3336 249.703
3672 249.863
4040 249.896
4448 261.183
4896 261.332
5392 224.627
5936 221.87
6536 197.081
7192 191.982
7912 186.239
8704 213.797
9576 182.854
